container_cpu_usage_seconds_total,Value
1663006487.849,0.057121877
1663006487.849,0.028583156
1663006487.849,0.046935941
1663006487.849,0.050813651
1663006487.849,0.039220123
1663006487.849,0.042706341
1663006487.849,0.032298883
1663006487.849,0.028539673
1663006487.849,0.034467132
1663006487.849,0.044400387
1663006487.849,0.030739512
1663006487.849,0.042163129
1663006487.849,0.042818652
1663006487.849,0.044399629
1663006487.849,0.033562376
1663006487.849,0.037721301
1663006487.849,0.036080358
1663006487.849,0.039300223
1663006487.849,0.049196972
1663006487.849,0.050134776
1663006487.849,0.033205926
1663006487.849,0.032723484
1663006487.849,0.032644509
1663006487.849,0.047460018
1663006487.849,0.039031991
1663006487.849,0.045945792
1663006487.849,0.03337394
1663006487.849,0.029607214
1663006487.849,0.049829887
1663006487.849,0.038013213
1663006487.849,0.042794416
1663006487.849,0.039066509
1663006487.849,0.04646663
1663006487.849,0.036745474
1663006487.849,0.033233682
1663006487.849,0.035924691
1663006487.849,0.040171389
1663006487.849,0.034675761
1663006487.849,1404.885680357
1663006487.849,14911.973980753
1663006487.849,7408.986490956
1663006487.849,4154.166206584
1663006487.849,1689.788589232
1663006487.849,1348.331393472
1663006487.849,1634.525371133
1663006487.849,863.050323241
1663006487.849,21.593406607
1663006487.849,246.573669161
1663006487.849,97.145571955
1663006487.849,47.383516294
1663006487.849,198.18952403
1663006487.849,179.357953066
1663006487.849,112.235295394
1663006487.849,181.165013072
1663006487.849,118.797724856
1663006487.849,2113.228199586
1663006487.849,133.070075272
1663006487.849,4764.443806817
1663006487.849,31.920066474
1663006487.849,1448.338502272
1663006487.849,78.306318969
1663006487.849,2040.62782249
1663006487.849,27.707978048
1663006487.849,843.813719611
1663006487.849,2062.785804184
1663006487.849,76.181840184
1663006487.849,848.210764469
1663006487.849,27.153420428
1663006487.849,6090.801991898
1663006487.849,1726.969929001
1663006487.849,2130.518810424
1663006487.849,914.165068941
1663006487.849,1500.828184767
1663006487.849,2985.876705034
1663006487.849,760.329454945
1663006487.849,1457.96966012
1663006487.849,2.094983232
1663006487.849,1440.064987727
1663006487.849,682.775762614
1663006487.849,89.871109931
1663006487.849,1095.560142721
1663006487.849,1002.560805687
1663006487.849,0.063051668
1663006487.849,0.063367001
1663006487.849,0.07198382
1663006487.849,0.069925623
1663006487.849,0.034948569
1663006487.849,0.052659271
1663006487.849,0.039350965
1663006487.849,0.041081063
1663006487.849,1550.179039148
1663006487.849,66843.769874046
1663006487.849,45292.551008877
1663006487.849,76394.540356249
1663006487.849,29930.429008859
1663006487.849,243.14494979
1663006487.849,174.036633126
1663006487.849,78.732404854
1663006487.849,46.630635943
1663006487.849,68.766276895
1663006487.849,410.10462234
1663006487.849,336.977956338
1663006487.849,411.332722268
1663006487.849,256.221315491
1663006487.849,609.166729793
1663006487.849,380.897237467
1663006487.849,240.578317964
1663006487.849,0.034255825
1663006487.849,0.045175116
1663006487.849,0.027048596
1663006487.849,0.036045493
1663006487.849,0.03055286
1663006487.849,0.043622149
1663006487.849,0.03655442
1663006487.849,0.03734126
1663006487.849,0.041005831
1663006487.849,0.041830782
1663006487.849,0.046166633
1663006487.849,0.049105678
1663006487.849,0.050706679
1663006487.849,0.040467713
1663006487.849,0.035156109
1663006487.849,0.036233057
1663006487.849,0.034656497
1663006487.849,0.035532792
1663006487.849,0.037713359
1663006487.849,0.029635511
1663006487.849,0.036777994
1663006487.849,0.026212709
1663006487.849,0.032563711
1663006487.849,0.040560987
1663006487.849,0.038043802
1663006487.849,0.042758581
1663006487.849,0.042384712
1663006487.849,0.032796899
1663006487.849,0.036733781
1663006487.849,0.042227901
1663006487.849,0.029269314
1663006487.849,0.039278849
1663006487.849,0.042229088
1663006487.849,0.035726858
1663006487.849,0.034801936
1663006487.849,0.030211655
1663006487.849,0.044191263
1663006487.849,0.035623274
1663006487.849,0.031637892
1663006487.849,0.044433263
1663006487.849,0.029293361
1663006487.849,0.036668572
1663006487.849,0.031443403
1663006487.849,0.035798309
1663006487.849,0.045536163
1663006487.849,0.029966894
1663006487.849,0.035401995
1663006487.849,0.044086682
1663006487.849,0.036156577
1663006487.849,0.039070333
1663006487.849,0.031168374
1663006487.849,0.041974075
1663006487.849,0.038485083
1663006487.849,0.033269745
1663006487.849,0.037784911
1663006487.849,0.037221704
1663006487.849,0.027410176
1663006487.849,0.0431345
1663006487.849,0.031553459
1663006487.849,0.030748217
1663006487.849,0.041583525
1663006487.849,0.037084303
1663006487.849,0.037652256
1663006487.849,0.042865578
1663006487.849,7788.86207555
1663006487.849,20311.787493942
1663006487.849,344.917710068
1663006487.849,1703.470920667
1663006487.849,7004.928438856
1663006487.849,963.327318139
1663006487.849,18.80417955
1663006487.849,170.518850861
1663006487.849,209.378258142
1663006487.849,946.076286985
1663006487.849,36.984120909
1663006487.849,10.73858809
1663006487.849,76.181888412
1663006487.849,326.633611786
1663006487.849,0.915416862
1663006487.849,14.205888335
1663006487.849,116.861895007
